aut_principal,pseudo,viaf,titulo,Lengua fuente,Lengua,ISBN,Ciudad de publicación,Ente editor,Año de publicación,Traductor/a,Observaciones
"Doyle, Arthur Conan",No hay datos,http://viaf.org/viaf/65283845,El sabueso de los Baskerville,eng,Inglés,No hay datos,Colonia Suiza,Textual,2009,No hay datos,No hay datos
"Doyle, Arthur Conan",No hay datos,http://viaf.org/viaf/65283845,El signo de los cuatro,eng,Inglés,No hay datos,Colonia Suiza,Textual,2009,No hay datos,No hay datos
"Doyle, Arthur Conan",No hay datos,http://viaf.org/viaf/65283845,Su última reverencia : recuerdos de Sherlock Holmes,eng,Inglés,No hay datos,Colonia Suiza,Textual,2009,No hay datos,No hay datos
No hay datos,No hay datos,No hay datos,"Romania en construcción II : textos medievales traducidos y anotados / Cristina Píppolo, Leticia Pugliese editores",lat,Latín,9789974968714,Montevideo,"Universidad de la República, Facultad de Humanidades y Ciencias de la Educación|Unión Latina de Uruguay",2009,No hay datos,No hay datos
"Saint-Exupéry, Antoine de",No hay datos,http://viaf.org/viaf/93810507,El Principito / Antoine de Saint-Exupéry,fre,Francés,9562014320,Montevideo,JC Sáez Editor,2010,No hay datos,No hay datos
No hay datos,No hay datos,No hay datos,Teatro francés contemporáneo VIII,fre,Francés,9789974325272,Montevideo,Trilce,2010,"Masello, Laura","Se añadió dato traductor. Fuente: BN campo Valor.
"
"Laforgue, Jules",No hay datos,http://viaf.org/viaf/34458905,Los lamentos = Les complaintes / Jules Laforgue ; edición de Andrés Echevarría,fre,Francés,9789974687264,Montevideo,Hum,2010,No hay datos,No hay datos
"Meyer, Stephenie",No hay datos,http://viaf.org/viaf/102313919,Eclipse / Stephenie Meyer,eng,Inglés,9789974952676,Montevideo,Alfaguara,2010,No hay datos,No hay datos
"Barbery, Muriel",No hay datos,http://viaf.org/viaf/64172549,La elegancia del erizo / Muriel Barbery ; traducción de Isabel González Gallarza,fre,Francés,9789974685253,Montevideo,Planeta,2010,"González-Gallarza, Isabel",Se añadió dato traductor. Fuente: BN campo Título. 
"Oates, Joyce Carol",No hay datos,http://viaf.org/viaf/108187427,Mamá / Joyce Carol Oates ; traducción Carme Camps,eng,Inglés,9789870416111,Montevideo,Alfaguara,2010,"Camps, Carme",Se añadió dato traductor. Fuente: BN campo Título. 
