aut_principal,pseudo,viaf,titulo,Lengua fuente,Lengua,ISBN,Ciudad de publicación,Ente editor,Año de publicación,Traductor/a,Observaciones
No hay datos,No hay datos,http://viaf.org/viaf/17286022,La canción de Rolando / estudio y análisis por Edmundo Faral,fre,Francés,No hay datos,Montevideo,No hay datos,1934,No hay datos,"Es manual de estudio./ Sin fecha ni ente editor./ Se añadió datación estimada: 1934. El año estimado refiere a la fecha de publicación posible más temprana, ya que 1934 es la fecha de publicación del texto fuente. "
"Dostoevskii, Feder","Dostoyevsky, Fyodor",http://viaf.org/viaf/104023256,En la aldea de Stopantichikovo : comedia en 3 actos basada en la novela de Feodor M. Dostoyevsky / adaptación teatral de Washington Lockart,rus,Ruso,No hay datos,No hay datos,No hay datos,1952,No hay datos,"Sin fecha ni ente editor./ Se añadió datación estimada: 1952. El año estimado refiere a la fecha de publicación posible más temprana, ya que esta obra de teatro fue estrenada en el Glücksman Palace, Mercedes, el 27 de junio de 1952. (Fuente: Anáforas).
"
"Hamsun, Knut",No hay datos,http://viaf.org/viaf/59083692,Hambre : novela / traducción de Alberto de Flos,nor,Noruego,No hay datos,Montevideo,Editorial Artigas,1920,"De Flos, Alberto","Se añadió datación estimada: 1920. El año estimado refiere a la fecha de publicación posible más temprana, ya que en la portada de la obra se señala el Premio Nobel del autor, 1920. "
"Hamsun, Knut",No hay datos,http://viaf.org/viaf/59083692,La reina de Saba,nor,Noruego,No hay datos,Montevideo,Editorial Artigas,1920,No hay datos,"Se añadió datación estimada: 1920. El año estimado refiere a la fecha de publicación posible más temprana, ya que esta editorial al parecer publica varias obras de Hamsun comenzando en ese año. (Fuente: Martínez Børresen, Z. (2012). Knut Hamsun en Hispanoamérica: hacia una revaloración Literatura  mexicana, 23 (2)."
"Ibsen, Henrik",No hay datos,http://viaf.org/viaf/71378383,Brand (Fuego),nor,Noruego,No hay datos,Montevideo,La Casa del Estudiante,1950,No hay datos,"Es manual de estudio./ Se añadió datación estimada: 1950. El año estimado refiere a la fecha de publicación posible más temprana, ya que 1950 es la fecha en la que aparece en este relevamiento un primer texto en traducción publicado por esta editorial, Casa del Estudiante "
"Jouhanneaud, Pablo",No hay datos,http://viaf.org/viaf/244870177,Angela y su hijo ó El poder de la cruz / por el abate Pablo Jouhanneaud canónigo,fre,Francés,No hay datos,Montevideo,Imprenta Liberal,1871,No hay datos,No hay datos
"Bresciani, Antonio",No hay datos,http://viaf.org/viaf/9837565,"El hebreo de Verona : novela histórica que comprende la revolución de Italia desde 1846 hasta 1849, en que se descubren los misterios de las sociedades secretas, su organización y su influencia en los sacudimientos y revoluciones de las naciones de Europa / escrita en italiano por el P. Antonio Bresciani : traducida y continuada por D. Pedro Reinés y Solá",ita,Italiano,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1872,"Reinés y Solá, D. Pedro",Se añadió dato traductor. Fuente: BN campo Título. 
"Bray, Mrs. Mary (Matthews)","Bray, Mary Matthews",http://viaf.org/viaf/8641164479573526210009,La estrella del mar / traducida.por las señoritas J. y P.,eng,Inglés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1873,Señoritas J. y P,"Publicada por entregas en El Mensajero del Pueblo a partir del núm. 215, 17.7.1873. Fuente: Anáforas./ Se añadió dato traductor. Fuente: BN campo Título.
"
"Schmid, Christoph von",No hay datos,http://viaf.org/viaf/7524803,El rosal / por Cristóbal Schmid : traducido del francés por Joaquín Marti,ger,Alemán,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1873,"Martí, Joaquín",Se rectificó lengua fuente de francés a alemán. Es una traducción indirecta a través del francés./ Se añadió dato traductor. Fuente: BN campo Título.
"Wiseman, Nicholas Patrick-Stephen",No hay datos,http://viaf.org/viaf/71399207,La lámpara del santuario / por el Cardenal Wiseman : traducido para la Estrella de Chile por Máximo R. Lira,eng,Inglés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1873,"Lira, Máximo R.",Se añadió dato traductor. Fuente: BN campo Título.
"Bourdon, Mme. Mathilde (Lippens)","Bourdon, Mathilde",http://viaf.org/viaf/24633634,La granja de los cedros...,fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1875,No hay datos,No hay datos
"Lemercier, Adrien",No hay datos,http://viaf.org/viaf/44112760,Iona... / traducida de la décima ed. francesa por J.R.,fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1874,J.R.,Se añadió dato traductor. Fuente: BN campo Título.
"Marquigny, Eugenio",No hay datos,http://viaf.org/viaf/28145911001127061348,La Condesa de Adelstan...,fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1874,No hay datos,No hay datos
"Bourdon, Mme. Mathilde (Lippens)","Bourdon, Mathilde",http://viaf.org/viaf/27102015,La granja de los cedros...,fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1875,No hay datos,Publicado como folletín en El Mensajero del Pueblo. Fuente: Anáforas. 
"Dupanloup, Félix Antoine Philibert, Obispo de Orleans",No hay datos,http://viaf.org/viaf/27102015,Mujeres sabias y mujeres estudiosas / por Monseñor Dupanloup ; tr. del francés para El Mensajero del Pueblo.,fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1875,No hay datos,No hay datos
"Barrili, Anton Giulio",No hay datos,http://viaf.org/viaf/46754144,La hiedra y el olmo : traducción del francés para El mensajero del pueblo,ita ,Italiano ,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1875,No hay datos,Se rectificó lengua fuente de francés a italiano. Es una traducción indirecta a través del francés.
"Bourdon, Mme. Mathilde (Lippens)","Bourdon, Mathilde",http://viaf.org/viaf/24633634,"Valeria o los primeros cristianos: novela histórica / por Matilde Fromont; tr. Del frances para El Mensajero del Pueblo,fre, 1875, Montevideo : Tip. de El Mensajero, 1875",fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1875,No hay datos,No hay datos
No hay datos,No hay datos,No hay datos,La herencia de Francisca / traducida para El Mensajero del Pueblo por S. y D.,No hay datos,No hay datos,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1875,S y D,Se añadió dato traductor. Fuente: BN campo Título.
"Bourdon, Mme. Mathilde (Lippens)","Bourdon, Mathilde",http://viaf.org/viaf/24633634,Las apariencias y la realidad.folletín...,fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1876,No hay datos,No hay datos
"Bourdon, Mme. Mathilde (Lippens)","Bourdon, Mathilde",http://viaf.org/viaf/24633634,La mujer de un oficial / por Madama Matilde Bourdon; tr. expresamente por el Mensajero del Pueblo,fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1876,No hay datos,Se añadió ente editor. Fuente: BN campo Título.
"Bourdon, Mme. Mathilde (Lippens)","Bourdon, Mathilde",http://viaf.org/viaf/24633634,"Las tres hermanas, escenas de familia... / traducido por la señorita. A. V.",fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1876,Señorita. A. V.,Se añadió dato traductor. Fuente: BN campo Título.
"Ghislanzoni, Antonio",No hay datos,http://viaf.org/viaf/68948123,Salvador Rosa : drama lírico en 4 actos,ita,Italiano,No hay datos,Montevideo,La Idea,1876,No hay datos,No hay datos
"Bourdon, Mme. Mathilde (Lippens)","Bourdon, Mathilde",http://viaf.org/viaf/24633634,Dionisia,fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1877,No hay datos,No hay datos
Paulina de la Ferronays,No hay datos,http://viaf.org/viaf/41831266,Relato de una hermana: recuerdos de familia / recolectados por Mme. Augustus Craven (Paulina de la Ferronays),fre,Francés,No hay datos,Montevideo,Tipografía de El Bien Público,1880,No hay datos,Se añadió dato autor. Fuente: BN campo Título.
"Shakespeare, William",No hay datos,http://viaf.org/viaf/96994048,Ofelia : escenas líricas extractadas del Hamlet de Shakespeare / música de Carmelo Calvo,eng,Inglés,No hay datos,Montevideo,Tipografía de El Bien Público,1880,No hay datos,No hay datos
"Montépin, Xavier de",No hay datos,http://viaf.org/viaf/87953024,El coche número trece,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La Colonia española,1881,No hay datos,No hay datos
"Sandeau, Léonard Sylvain Julien (Jules)",No hay datos,http://viaf.org/viaf/56616138,Valentía,fre,Francés,No hay datos,Montevideo,Tipografía de El Bien Público,1882,No hay datos,No hay datos
"Conscience, Hendrik",No hay datos,http://viaf.org/viaf/46807576,El hidalgo pobre. traducido por J. F. Saenz de Urraca,dut,Neerlandés,No hay datos,Montevideo,Imprenta a vapor de La España,1886,"Sáenz de Urraca, J. F.",Se rectificó lengua fuente de francés a neerlandés. Sería una traducción indirecta a través del francés./ Se añadió dato traductor. Fuente: BN campo Título.
"Erckmann-Chatrian, seud.","Erckmann, Émile|Chatrian, Alexandre",http://viaf.org/viaf/14939099,Los dos hermanos / por /H/Erckmann-Chatrian : traducción de Luis Calvo,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1886,"Calvo, Luis",Se añadió dato traductor. Fuente: BN campo Título.
"Fargus, Frederick John",No hay datos,http://viaf.org/viaf/59148116,Misterio.traducida por José Marti,eng,Inglés,No hay datos,Montevideo,Imprenta a vapor de La España,1886,"Martí, José",Se añadió dato traductor. Fuente: BN campo Título.
"Gautier, Théophile",No hay datos,http://viaf.org/viaf/96428598,Fortunio / novelas de Teófilo Gautier,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1886,No hay datos,No hay datos
"Gréville, Henry, seud. de Alice (Fleury) Durand","Durand, Alice Marie Céleste Fleury",http://viaf.org/viaf/49258322,Dosia / novela escrita en francés por Henry Gréville : tr. de J.F. Saenz de Urraca,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1886,"Sáenz de Urraca, J. F.",Se añadió dato traductor. Fuente: BN campo Título.
"Montépin, Xavier de",No hay datos,http://viaf.org/viaf/87953024,La sirena / Xavier de Montépin; tr. De Teodoro de la P. y Belmonte,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1886,"De la P. y Belmonte, Teodoro",Se añadió dato traductor. Fuente: BN campo Título.
"Moret, Eugene",No hay datos,http://viaf.org/viaf/76558078,El purgatorio de las mujeres,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1886,No hay datos,No hay datos
"Ohnet, Georges",No hay datos,http://viaf.org/viaf/66497284,Lise Fleuron... / traducida por José de Olave,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1886,"De Olave, José",Se añadió dato traductor. Fuente: BN campo Título.
"Voltaire, Francois Marie Arouet de","Arouet, François-Marie",http://viaf.org/viaf/36925746,El Emperador de la China y Fray Rigolet,fre,Francés,No hay datos,Montevideo,Lito-Tipografía Pro-Patria,1886,No hay datos,No hay datos
"Arnould, Arthur",No hay datos, http://viaf.org/viaf/39372992,El gabinete color de rosa; traducción de Enrique Pastor y Bedoya,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1887,"Pastor y Bedoya, Enrique",Se añadió dato traductor. Fuente: BN campo Título.
"Arnould, Arthur",No hay datos, http://viaf.org/viaf/39372992,Quién es ella? : Cherchez la femme / Arthur Arnould i.e Arthur A. Matthey ; traducción de Enrique Pastor y Bedoya,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1887,"Pastor y Bedoya, Enrique",Se añadió dato traductor. Fuente: BN campo Título.
"Dumas, Alexandre",No hay datos,http://viaf.org/viaf/51688902,La hija del rejente / traducida por J. Alegrer de Meso,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1887,"Alegrer de Meso, J.",Se añadió dato traductor. Fuente: BN campo Título.
"Gaboriau, Emile",No hay datos,http://viaf.org/viaf/100177491,El dinero de los otros; versión castellana de C. Vidal,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1887,"Vidal, C.",Se añadió dato traductor. Fuente: BN campo Título.
"Gaboriau, Emile",No hay datos,http://viaf.org/viaf/100177491,Los hombres de paja; versión española de Ángel Luque,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1887,"Luque, Ángel",Se añadió dato traductor. Fuente: BN campo Título.
"Ohnet, Georges",No hay datos,http://viaf.org/viaf/66497284,Negro y rosado...traducción de J. Federico Sáenz de Urraca,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1887,"Sáenz de Urraca, J. F.",Se añadió dato traductor. Fuente: BN campo “Título”.
"Conscience, Hendrik",No hay datos,http://viaf.org/viaf/46807576,La plaga de la aldea... / traducción de J.F. Saenz de Urraca,dut,Neerlandés,No hay datos,Montevideo,Imprenta a vapor de La España,1888,"Sáenz de Urraca, J. F.",Se rectificó lengua fuente de francés a neerlandés. Sería una traducción indirecta a través del francés./ Se añadió dato traductor. Fuente: BN campo Título.
"Feuillet, Octave",No hay datos,http://viaf.org/viaf/68928998,La muerta,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1888,No hay datos,No hay datos
"Houssaye, Arsene, seud.","Housset, Arsène",http://viaf.org/viaf/51690988,"La comedianta, historia de una estrella",fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1888,No hay datos,No hay datos
"Montépin, Xavier de",No hay datos,http://viaf.org/viaf/87953024,Una nueva bailarina / Javier de Montepin : tr. del francés de D. Enrique Pastor y Bedoya,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1888,"Pastor y Bedoya, Enrique",Se añadió dato traductor. Fuente: BN campo Título.
"Ponson du Terrail, Pierre Alexis, cvicomte de",No hay datos,http://viaf.org/viaf/17228199,Las noches del barrio de Breda / Ponson du Terrail : tr. de G. Oduaga Zolarde : / introducción por Julieta /,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1888,"Oduaga Zolarde, G.",Se añadió dato traductor. Fuente: BN campo Título.
"Wiseman, Nicholas Patrick Stephen, cardenal",No hay datos,http://viaf.org/viaf/71399207,"La venganza de un judío: novela recomendada por el inminetismo cardenal Wiseman autor de la Fabiola, original de C. Guenot; vertida del francés al español por Rafael Palet y Terra",eng,Inglés,No hay datos,Montevideo,Tipografía Uruguaya,1888,"Palet y Terra, Rafael",Se añadió dato traductor. Fuente: BN campo Título.
"Flaubert, Gustave",No hay datos,http://viaf.org/viaf/9846192,Salammbó: versión castellana de Antonio Mora,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1889,"Mora, Antonio",Se añadió dato traductor. Fuente: BN campo Título.
"Gautier, Théophile",No hay datos,http://viaf.org/viaf/96428598,Novelas cortas; traducción de Un aprendiz de estilista,fre,Francés,No hay datos,Montevideo,Imprenta de La correspondencia,1889,No hay datos,No hay datos
"Hugo, Víctor",No hay datos,http://viaf.org/viaf/9847974,"Noventa y tres, novela histórica original / traducida por D.N. Fernández Cuesta",fre,Francés,No hay datos,Montevideo,Establecimiento tipográfico a vapor de El Liberal,1889,"Fernández Cuesta, D. N.",Se añadió dato traductor. Fuente: BN campo Título.
"O'rell, Max",No hay datos,http://viaf.org/viaf/44673742,John Bull y su isla : costumbres inglesas contemporáneas,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de El Siglo,1889,No hay datos,No hay datos
"About, Edmond Francois Valentín",No hay datos,http://viaf.org/viaf/34452092,A orillas del Nilo / Edmundo About,fre,Francés,No hay datos,Montevideo|Buenos Aires,Librerías de Real y Prado,1880,No hay datos,"La datación es estimada. Corresponde a la década./ Se añadió dato traductor. Fuente: Archivo Histórico Municipal (Castellón de la Plana, España).
"
"Hugo, Víctor",No hay datos,http://viaf.org/viaf/9847974,El año terrible / Víctor Hugo; tr. de Mariano Blanch,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1890,"Blanch, Mariano",Se añadió dato traductor. Fuente: BN campo Título.
"Shakespeare, William",No hay datos,http://viaf.org/viaf/96994048,Romeo y Julieta : drama en cinco actos / por Shakespeare : traducido y arreglado al teatro español por Un Aficionado /i.e. Antonio N. Pereira/,eng,Inglés,No hay datos,Montevideo,Imprenta El Siglo Ilustrado,1891,"Pereira, Antonio N.",Se añadió dato traductor. Fuente: BN campo Título y Valor.
"Gaboriau, Emile",No hay datos,http://viaf.org/viaf/100177491,Los esclavos de Paris (Los delatores) Versión castellana de doña Joaquina García Balmaceda,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de Montevideo Noticioso,1891,"García Balmaceda, Joaquina",Se añadió dato traductor. Fuente: BN campo Título.
"Grousset, Paschal","Laurie, André",http://viaf.org/viaf/44301368,Rey del petróleo / novela escrita en francés por A. Laurie /seud: de Paschal Grousset/ y traducida expresamente al español,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de Montevideo Noticioso,1891,No hay datos,No hay datos
"Mairet, Jeanne","Bigot, Marie Healy",https://viaf.org/viaf/49319678/,Cargo de conciencia / Jeanne Mairet,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de El Siglo,1892,No hay datos,No hay datos
"Bigot, Marie (Healy) Mme. Charles Bigot","Mairet, Jeanne|Bigot, Marie Healy",http://viaf.org/viaf/49319678,Cargo de conciencia,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de El Siglo,1892,No hay datos,No hay datos
"Shakespeare, William",No hay datos,http://viaf.org/viaf/96994048,Hamlet : tragedia en cinco actos / por Shakespeare ; traducida y arreglada al español por Un Aficionado /i.e. Antonio N. Pereira/,eng,Inglés,No hay datos,Montevideo,Imprenta El Siglo Ilustrado,1892,"Pereira, Antonio N.",Se añadió dato traductor. Fuente: BN campo Título y Valor.
"Shakespeare, William",No hay datos,http://viaf.org/viaf/96994048,"Julio César : drama / por Shakespeare ; traducido y arreglado al teatro español por Antonio, N. Pereira",eng,Inglés,No hay datos,Montevideo,Imprenta El Siglo Ilustrado,1892,"Pereira, Antonio N.",Se añadió dato traductor. Fuente: BN campo Título y Valor.
"Cherville, C de",No hay datos,No hay datos,Lafes,fre,Francés,No hay datos,Montevideo,No hay datos,1892,No hay datos,No hay datos
"Delmas, León René","Pont-Jest, René de",http://viaf.org/viaf/64010546,El divorcio : novela / René de Pont Jest [seud.] ; traducida por Julio Cantera,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1892,"Cantera, Julio ",Se añadió dato traductor. Fuente: BN campo Título.
"Lapauze, Jeanne (Loiseau)",No hay datos,http://viaf.org/viaf/39520913,Pasión eslava / traducida por A. M. G.,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de El Siglo,1892,A. M. G.,Se añadió dato traductor. Fuente: BN campo Título.
"Ohnet, Georges",No hay datos,http://viaf.org/viaf/66497284,Nemrod y Ca.,fre,Francés,No hay datos,Montevideo,No hay datos,1892,No hay datos,Se rectificó dato autor. Fuente: VIAF.
"Ponson du Terrail, Pierre Alexis, vicomte de",No hay datos,http://viaf.org/viaf/17228199,El paje del duque de Orleans : historia del siglo de Luis XIV... / traducción de J.F. Sáenz de Urraca,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1892,"Sáenz de Urraca, J. F.",Se añadió dato traductor. Fuente: BN campo Título.
Zola Emile,No hay datos,http://viaf.org/viaf/32004502,El desastre (La debacle),fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1892,No hay datos,No hay datos
"Theuriet, André",No hay datos,http://viaf.org/viaf/14777319,Encanto peligroso...,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de El Siglo,1892,No hay datos,No hay datos
"Blandy, seud.","Blandy, Stella",http://viaf.org/viaf/39410255,La Benjamina / Blandy : obra traducida expresamente para El Siglo,fre,Francés,No hay datos,Montevideo,El Siglo,1892,No hay datos,No hay datos
"Belot, Adolphe",No hay datos,http://viaf.org/viaf/59078772,Buen amigo / Adolfo Belot ; versión castellana por Ángel del Palacio,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1893,"Del Palacio, Ángel",Se añadió dato traductor. Fuente: BN campo Título.
"Coppée, Francois",No hay datos,http://viaf.org/viaf/46759181,Un idilio durante el sitio,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1893,No hay datos,Se rectificó dato autor. Fuente: VIAF.
"Fargus, Frederick John",No hay datos,http://viaf.org/viaf/59148116,Confusion /Hugh Conway/ i.e. Frederick John Fargus/,eng,Inglés,No hay datos,Montevideo,Imprenta a vapor de El Siglo,1893,No hay datos,No hay datos
"Foley, Charles",No hay datos,http://viaf.org/viaf/14797279,Mis Bell / por Carlos Foley,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de El Siglo,1893,No hay datos,No hay datos
"Reynolds, George William Mac Artur",No hay datos,http://viaf.org/viaf/72764995,Los misterios de la corte de Londres...,eng,Inglés,No hay datos,Montevideo,Imprenta de La Tribuna popular,1893,No hay datos,No hay datos
"Dumas, Alexandre",No hay datos,http://viaf.org/viaf/51688902,Montevideo ó Una nueva Troya / escrita en francés por Alejandro Dumas ; versión española por Andrés Muñoz Anaya,fre,Francés,No hay datos,Montevideo,Imprenta y Librería del Plata,1893,"Muñoz Anaya, Andrés",Se añadió dato traductor. Fuente: BN campo Título.
"Achard, Louis Amédée Eugene",No hay datos,http://viaf.org/viaf/22137477,Miserias de un millonario / Por M. Amadeo Achard,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La Popular,1894,No hay datos,No hay datos
"Doncroix, G.H","Lordon, Paul",http://viaf.org/viaf/27153706,Amante y asesino : novela original... / traducida del francés por Ángel R. Chaves,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de El Siglo,1894,"Chaves, Ángel R.","Se añadió dato traductor. Fuente: BN campo Título./ Se ha establecido que el nombre Doncroix, G.H. es un seudónimo de Paul Lordon, por lo que se integra la ficha VIAF de este autor."
"Merouvel, Charles",No hay datos,http://viaf.org/viaf/4933665,Los hijos del crimen,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1894,No hay datos,No hay datos
"Merouvel, Charles",No hay datos,http://viaf.org/viaf/4933665,El honor o la vida,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1894,No hay datos,No hay datos
"Merouvel, Charles",No hay datos,http://viaf.org/viaf/4933665,Odio y amor,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1894,No hay datos,No hay datos
"Montépin, Xavier de",No hay datos,http://viaf.org/viaf/87953024,Los dramas de la espada...,fre,Francés,No hay datos,Montevideo,Imprenta de La Tribuna popular,1894,No hay datos,No hay datos
"Ohnet, Georges",No hay datos,http://viaf.org/viaf/66497284,Deuda de odio,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1894,No hay datos,No hay datos
"Shakespeare, William",No hay datos,http://viaf.org/viaf/96994048,El rey Lear : drama en cinco actos / de Shakespeare ; traducido por Un Aficionado /i.e. Antonio N. Pereira/,eng,Inglés,No hay datos,Montevideo,Imprenta El Siglo Ilustrado,1894,"Pereira, Antonio N.",Se añadió dato traductor. Fuente: BN campo Título. 
"Sales, Pierre",No hay datos,http://viaf.org/viaf/32141297,La venganza de un noble / Pierre Sales ; versión española de Julián Morón,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1895,"Morón, Julián",Se añadió dato traductor. Fuente: BN campo Título. 
"Arbouville, Sophie (de Bezancourt) Loyré d´",No hay datos,http://viaf.org/viaf/71499212,Una historia holandesa / versión de Alberto Navarro Viola.,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1895,"Navarro Viola, Alberto",Se añadió dato traductor. Fuente: BN campo Título. 
"Chaperon, Felipe",No hay datos,http://viaf.org/viaf/37041743,Un rendimiento : novela original...,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1895,No hay datos,No hay datos
"Daudet, Alphonse",No hay datos,http://viaf.org/viaf/4928621,"La capilla del perdón, costumbres conyugales / versión española por Francisco Gutiérrez Brito.",fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1895,"Gutiérrez Brito, Francisco",Se añadió dato traductor. Fuente: BN campo Título.
"Demesse, Henri",No hay datos,http://viaf.org/viaf/45045127,El mesón de la cigèueña o La Huérfana alsaciana...,fre,Francés,No hay datos,Montevideo,Imprenta de La Tribuna popular,1895,No hay datos,No hay datos
"Deslys, Charles Collinet",No hay datos,http://viaf.org/viaf/44336221,Teresa Bidot : novela... / traducción de J.F. Saens de Urraca.,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1895,"Sáenz de Urraca, J. F.",Se añadió dato traductor. Fuente: BN campo Título.
"Mérouvel, Charles",No hay datos,http://viaf.org/viaf/4933665,El collar del rajah (La filluele de la duchesse) : novela original.,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1895,No hay datos,No hay datos
"Ohnet, Georges",No hay datos,http://viaf.org/viaf/66497284,La dama vestida de gris / Jorge Ohnet ; versión castellana por Domingo Figarola y Caneda.,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1895,"Figarola y Caneda, Domingo",Se añadió dato traductor. Fuente: BN campo Título.
"Bouvier, Alexis",No hay datos,http://viaf.org/viaf/22172554,Amores de sangre; versión española por Emilio Soulere y J. García Plaza.,fre,Francés,No hay datos,Montevideo,Imprenta de La Tribuna popular,1896,"Soulere, Emilio|García Plaza, J.",Se añadió dato traductor. Fuente: BN campo Título.
No hay datos,No hay datos,No hay datos,Los brigantes de las calabrias y de las provincias romanas / traducido del italiano por S. Irellor.,ita,Italiano,No hay datos,Montevideo|Buenos Aires,Santiago Rolleri,1896,"Irellor, S.","Se añadió dato traductor. Fuente: BN campo Título./ Sin nombre de autor. Según el libro de Adolfo Prieto, El discurso criollista en la formación de la Argentina moderna (Buenos Aires: Siglo XXI,  2006) el autor sería Santiago Rolleri, quien es también el editor de la obra. Nótese que el traductor señalado, Irellor S., es un anagrama de Santiago Roller. Un ejemplar digitalizado de esta obra en la que parecen coincidir autor, editor y traductor puede consultarse en Colecciones Digitales del Instituto Ibero-Americano de Berlín."
"Deslys, Charles Collinet",No hay datos,http://viaf.org/viaf/44336221,La hija del algebrista... / traducida del francés... por María B. de Curutchet.,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1896,"De Curutchet, María B.",Se añadió dato traductor. Fuente: BN campo Título.
"Mérouvel, Charles",No hay datos,http://viaf.org/viaf/4933665,El Dr. Mont-Dore.,fre,Francés,No hay datos,Montevideo,Imprenta de La Tribuna popular,1896,No hay datos,No hay datos
"Racot, Adolphe",No hay datos,http://viaf.org/viaf/56690301,El crimen de Darío Fal / traducción de Carlos Ochoa.,fre,Francés,No hay datos,Montevideo,Imprenta de La Tribuna popular,1896,"Ochoa, Carlos",Se añadió dato traductor. Fuente: BN campo Título.
"Stevenson, Robert Louis",No hay datos,http://viaf.org/viaf/95207986,El dinamitero; versión española...,eng,Inglés,No hay datos,Montevideo,Imprenta de La Tribuna popular,1896,No hay datos,No hay datos
"Herbert, Jorge",No hay datos,No hay datos,Jocelina / traducida.por J. F. Sáenz de Urraca,eng,Inglés,No hay datos,Montevideo,Imprenta a vapor de La España,1896,"Sáenz de Urraca, J. F.",Se añadió dato traductor. Fuente: BN campo Título.
"Claretie, Jules",No hay datos,http://viaf.org/viaf/95172612,"Juana Mornas, novela original,..versión castellana de P. San Román.",fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1897,"San Román, P.",Se añadió dato traductor. Fuente: BN campo Título.
"Demesse, Henri",No hay datos,http://viaf.org/viaf/45045127,Fifí (La petite Fifí) / traducción de Enrique Pastor y Bedoya.,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La España,1897,"Pastor y Bedoya, Enrique",Se añadió dato traductor. Fuente: BN campo Título.
"Du Boisgobey, Fortuné Hippolyte Auguste",No hay datos, http://viaf.org/viaf/19720225,Decapitada...,fre,Francés,No hay datos,Montevideo,Imprenta de La Tribuna popular,1897,No hay datos,No hay datos
